generation,valid_candidates,failed_candidates,success_rate,gen_best_score,best_so_far_score,buffer_size,puct_expansions,wall_seconds,prompt_tokens,cached_prompt_tokens,cache_hit_rate,completion_tokens,reasoning_tokens,tokens_per_completion,truncated,decode_p50,decode_p90,decode_p99,decode_max,eval_p50,eval_p90,eval_p99,eval_max,queue_p50,queue_max,grade_p50,grade_max
0,28,52,0.35,2.626291702972755,2.626291702972755,15,80,1382.7,4540,0,0.8527,1136466,922310,14205.8,1,14093,15777,33997,33997,225.72,545.56,546.39,546.39,0.09,12.0,369.3,703.12
1,55,25,0.6875,2.6308181133673005,2.6308181133673005,25,160,972.6,77695,0,0.8842,809476,667679,10118.5,0,10152,12348,14545,14545,123.4,292.51,547.68,547.68,0.09,0.4,194.69,650.79
2,38,42,0.475,2.635983054230083,2.635983054230083,35,240,1123.5,87455,0,0.9007,804194,625700,10052.4,0,9955,12381,14901,14901,302.71,539.64,544.5,544.5,0.11,8.52,480.5,798.49
3,43,37,0.5375,2.6359830849177106,2.6359830849177106,45,320,1422.4,110380,0,0.9082,822454,623013,10280.7,0,10339,12382,15814,15814,346.7,541.41,543.41,543.41,0.11,0.5,657.7,1064.09
4,14,66,0.175,2.6310935583513606,2.6359830849177106,53,400,1465.1,115145,0,0.9121,804765,583032,10059.6,0,9758,13096,16733,16733,542.09,546.48,548.38,548.38,0.19,0.41,743.7,1097.29
5,24,56,0.3,2.6342924020273872,2.6359830849177106,62,480,1635.1,116779,0,0.9476,775264,555045,9690.8,0,9691,12716,17029,17029,541.7,543.73,547.92,547.92,0.12,0.48,867.91,1280.94
