generation,valid_candidates,failed_candidates,success_rate,gen_best_score,best_so_far_score,buffer_size,puct_expansions,wall_seconds,prompt_tokens,cached_prompt_tokens,cache_hit_rate,completion_tokens,reasoning_tokens,tokens_per_completion,truncated,decode_p50,decode_p90,decode_p99,decode_max,eval_p50,eval_p90,eval_p99,eval_max,queue_p50,queue_max,grade_p50,grade_max
0,21,59,0.2625,2.622453010427489,2.622453010427489,15,80,1524.3,4540,0,0.8722,1136491,911833,14206.1,1,14146,15824,33997,33997,296.3,540.68,543.61,543.61,0.19,47.31,551.0,955.11
1,24,56,0.3,2.6310935720983006,2.6310935720983006,25,160,1229.0,96680,0,0.8982,897193,734809,11214.9,0,11018,13123,15936,15936,455.43,541.58,545.51,545.51,0.1,0.29,575.09,859.79
2,25,55,0.3125,2.6330352128723558,2.6330352128723558,35,240,1351.5,105740,0,0.9048,866116,675975,10826.5,0,10713,13670,14514,14514,541.12,545.18,546.79,546.79,0.1,0.3,612.38,994.98
3,25,55,0.3125,2.634292386071376,2.634292386071376,45,320,1448.0,113145,0,0.9055,847097,612742,10588.7,0,10563,15107,16934,16934,540.82,544.1,545.04,545.04,0.1,0.47,634.18,1069.31
4,32,48,0.4,2.6342923860713756,2.634292386071376,55,400,1482.4,124143,0,0.9332,831231,592328,10390.4,0,10157,12652,16574,16574,467.21,544.1,545.13,545.13,0.12,0.4,681.01,1108.5
