generation,valid_candidates,failed_candidates,success_rate,gen_best_score,best_so_far_score,buffer_size,puct_expansions,wall_seconds,prompt_tokens,cached_prompt_tokens,cache_hit_rate,completion_tokens,reasoning_tokens,tokens_per_completion,truncated,decode_p50,decode_p90,decode_p99,decode_max,eval_p50,eval_p90,eval_p99,eval_max,queue_p50,queue_max,grade_p50,grade_max
0,25,55,0.3125,2.626937563048667,2.626937563048667,15,80,3680.5,4540,0,0.7854,1225313,937297,15316.4,1,14618,17086,33999,33999,206.5,546.11,546.99,546.99,0.31,12.68,302.0,2652.0
1,38,42,0.475,2.630178753837156,2.630178753837156,25,160,1319.9,101250,0,0.9037,888313,744198,11103.9,0,11037,13466,14636,14636,252.4,546.1,552.0,552.0,0.38,8.9,373.01,787.9
2,33,47,0.4125,2.6300404287687873,2.630178753837156,35,240,1423.2,80019,0,0.8945,883200,725655,11040.0,0,11170,12983,14717,14717,244.19,545.61,551.3,551.3,0.32,6.79,375.31,811.5
3,46,34,0.575,2.6342924020725103,2.6342924020725103,45,320,1518.0,98471,0,0.9163,857475,678442,10718.4,0,10586,13085,14505,14505,236.0,545.89,552.0,552.0,0.4,12.29,459.81,906.5
4,22,58,0.275,2.6273289687154864,2.6342924020725103,54,400,1947.4,93274,0,0.9134,858163,679728,10727.0,0,10692,12688,16261,16261,542.3,547.12,550.2,550.2,0.48,12.69,681.5,937.8
5,34,46,0.425,2.63598044362875,2.63598044362875,64,480,1829.6,98927,0,0.9152,871519,664815,10894.0,0,11006,13577,14815,14815,522.1,546.48,549.1,549.1,0.41,17.2,656.18,1046.29
6,17,63,0.2125,2.6313495605172106,2.63598044362875,70,560,1756.5,111441,0,0.9253,832470,635696,10405.9,0,10588,12428,14653,14653,544.61,547.9,553.81,553.81,0.49,22.59,841.8,1132.61
7,3,77,0.0375,2.624006713786372,2.63598044362875,73,640,2715.0,108511,0,0.9238,885997,676077,11075.0,0,11182,13592,14839,14839,540.2,546.09,550.2,550.2,0.4,38.39,690.21,1078.2
8,25,55,0.3125,2.6307129344561173,2.63598044362875,82,720,1756.3,108812,0,0.9439,902351,701483,11279.4,0,11171,13935,14624,14624,544.31,547.79,553.23,553.23,0.41,38.3,734.69,1161.09
9,13,67,0.1625,2.6330325958370855,2.63598044362875,90,800,1533.9,118803,0,0.9507,893879,680588,11173.5,0,10977,13377,16118,16118,544.62,548.71,558.9,558.9,0.41,55.8,778.0,1147.7
10,17,63,0.2125,2.6359804489344265,2.6359804489344265,100,880,1500.6,131886,0,0.9316,842811,610006,10535.1,0,10892,13409,15315,15315,544.62,547.81,552.39,552.39,0.31,23.1,721.81,1124.31
11,15,65,0.1875,2.630828636692382,2.6359804489344265,108,960,1488.5,113865,0,0.913,815174,592620,10189.7,0,10118,14111,15390,15390,544.43,547.21,550.79,550.79,0.39,30.48,774.7,1134.33
12,7,73,0.0875,2.6275685338062296,2.6359804489344265,114,1040,1563.3,114439,0,0.9467,893069,666012,11163.4,0,11200,13401,15107,15107,543.9,548.29,555.11,555.11,0.39,70.11,772.5,1192.7
13,20,60,0.25,2.6306989888583057,2.6359804489344265,124,1120,1527.3,127542,0,0.9155,879677,636966,10996.0,0,10807,14009,16244,16244,544.31,547.3,550.01,550.01,0.38,14.5,742.62,1131.52
14,39,41,0.4875,2.628314015657946,2.6359804489344265,134,1200,1708.7,125774,0,0.9359,865829,620371,10822.9,0,10716,14345,16247,16247,542.95,548.29,553.01,553.01,0.38,42.02,667.61,1094.59
