run,problem,strategy,n_context,group_size,groups_per_batch,num_generations,generations_done,best_score,status,updated_at
cp26_s1,circle_packing_26,best,0,16,75,1,1,2.6359317681948826,complete,2026-07-28T05:25:22
cp26_s2,circle_packing_26,best,0,16,75,1,1,2.6298680523723816,complete,2026-07-28T05:40:25
cp26_s4,circle_packing_26,best,0,16,75,1,1,2.6310935890973943,complete,2026-07-28T11:07:52
cp26_s3,circle_packing_26,best,0,16,75,1,1,2.6310935890985,complete,2026-07-28T11:35:12
